,drugName,review
2156,fluoxetine,very cheap cure for depression saved my life had no side effect i think this should be the first antidepressant to try when your diagnosed i wa a teen and it is safe
2157,prozac,the pill work but it make me dizzy and so sleepy
2158,xanax,i have suffered severe depression for year and wa finally coming out of it with a cocktail of lithium luvox and epilim when the anxiety kicked in my doctor prescribed xanax which worked but the come down wa the worst i have ever had just a personal experience on mixing drug i guess
2159,alprazolam,i have ocd amp health anxiety i been taking xanax for the past year amp now i develop tinnitus i really dont know what caused my ear to ring but thats the only prescribed drug im taking right now i only take it at night because it help me sleep but sometimes i take another pill in the morning the milligram is the low
2160,adderall xr,adderall xr ha changed my life for year i have struggled with depression and just not feeling well i happened across an article on adult add and recognized the symptom i talked to my doctor and went off effexor xr and then began taking adderall xr before i ha lost focus by and didnt even know where to begin on project for work everything just seemed to be too difficult to do i couldnt make it through the day without a long nap i feel great am actually enjoying my work and dont need nap anymore always take it first thing in the morning otherwise it will interfere with sleep
2161,fluoxetine,prozac is not for everyone i wa prescribed mg for my anxiety i felt awesome for about two day on this medicine then the insomnia mood swing and rage set in it helped my anxiety but the effect on my mood were absolutely intolerable i started feeling dizzy and my eye hurt like i wa staring in the sun too long i think it totally flooded my brain with serotonin and it wa like system overload this is way too strong of a medication for someone with moderate anxiety and not much depression for someone who is severely depressed it might helpit definitely boost energy
2163,xanax,i started having panic attack about year ago the dr gave me a few different drug to try all either had horrible side effect including nightmare or did nothing then we tried xanax it wa a miracle for me one mg xanax and i can function again when i wa promoted at work to a position where i would have to speak in front of a crowd i wa terrified but taking one of these ha changed my life
2164,adderall,adderall ha been hugely beneficial in allowing me to function with improved mental acuity and i am able to take a relatively low dose to achieve these desired treatment effect
2165,prozac,fluoxetine is pretty gentle compared to most other antidepressant medicine i had a good response from zoloft almost year ago and when i had breakthrough depression i wa switched to effexor effexor worked but wa prohibitively expensive then i wa finally stated on prozacfluoxetine i had zero side effect during the first weekwhich wa vastly different from my experience with the other twoand at mgday fluoxetine seems just a efficacious fluoxetine ha worked well for my panic depression and general anxiety one must give it time to work for people that are really struggling six week can seem a lifetime but for many that is how long it take for fluoxetine to work
2166,prozac,prozac is great when you first start you can feel a little anxious but hang in there it ha changed my whole outlook on life after being really depressed after a divorce and trying to raise two kid on my own it gave me the confidence to get a job and enjoy working again before it i had little confidence i love laughing again which i do a lot now no side effect for me except feeling a bit weird and anxious for the first few week
2167,prozac,this medicine ha been a life saver for me it is the only antidepressant that ha worked i lost weight on it which i needed to feel le stressed can handle stress thought are not obsessive anymore i laugh more and interact more with friend i dont feel scared everyday if you are thinking of taking it give it at least week to kick it it worth it
2168,fluoxetine,i have had general anxiety for a long a i can remember and it started really interfering with my daily life and relationship my doctor put me on prozac with mg dosage the first week i did have a bit of nausea so it wa hard eating in the morning but thats the only side effect i noticed it helped me get rid of anxious thought that had once wrecked my life and made me calm without ridding me of my outgoing and bubbly personality that made me really happy however i have now been on it for almost month and i am noticing a large decrease in sex drive it ha started effecting my relationship so im currently looking at other option other than that i would recommend
2169,prozac,only been a week on mg and i already feel can not wait for the future week and to be thank you god for prozac
2170,prozac,pro great at controlling depression anxiety and stress con feel agitated hyper and impulsive on it some daytime fatigue longer to orgasm and decreased sex drive sexual dysfunction make me feel le attractive and confident around my man vivid dream at night numbed emotion must have patience when getting off to avoid withdrawal symptom my taper wa two month long note i would rather have a lowered sex drive than anxiety stress or depression though
2172,sarafem,my obgyn gave me this for premenstrual dysphoric disorder and it took me a while to actually take it because of the stigma that go along with taking prozac i wish i had taken it sooner a it ha made such a difference i have more patience i donut get angry a much and am happier than i have ever been i originally wa prescribed it for day a month week before my period but it ha been so helpful that i am taking it every day i take mg in the morning the first couple of week i had a hard time sleeping i would wake up in the middle of the night and couldnut fall back to sleep that went away and i have no other side effect i know so many people who should be taking this someone mentioned that it should be in the water and i agree
2173,prozac,my doctor switched me from cymbalta to prozac after the cymbalta didnt seem to be working for me any longer i started out taking mg per day now i am taking mg per day i had been taking the prozac at night before going to bed but noticed i wa having a lot more trouble getting to sleep after reading the dosing information i realized that i needed to be taking this medication in the morning so i will start that in the morning by holding off my dose tonight for the time that ive been taking this medication i have not had depressive episode that i wa unable to handle and taking the depression test it wa not a high a it had been in the past so for now i will continue this med but just change to taking it in the morn
2174,alprazolam,i have extreme depression and anexity sometimes panic attack i have this horrible habit of pulling out my hair on my headeyelashes and other area excessively xanax and lexapro have made me feel normal for the first time in year i actually have eyelash growing in i dont care what people say about the negative effect of xanax i persoanlly know i needed it i feel like the nightmare of my mind ha been treated
2177,sarafem,sarafem should be in the water have suffered from depression my whole life never knew how bad it wa until i started to take sarafem started at mg i am at mg today have tried to decrease dose or come off completely usually blaming weight gain amp tiredness on it but it wa not worth it very little weight gain and my tiredness never went away i have been on sarafem for over year if anything it saved my marriage take each night before bed amp have the script written for the brand namethere is a difference
2178,amphetamine,adderall xr became le effective so dr wanted me to try adzenys xr i do not like it terrible headache right after i take it then i get nauseated even though the adderall xr ha become le effective at least it give me somewhat concentration without side effect also i hate the blister pack it come in and it taste terrible with a gritty bad after taste
2180,fluoxetine,i suffered from anxiety and panic attack especially on motorway were the palm of my hand would sweat i would worry in advance of a journey of certain part of the road especially flyover a that triggered a element of vertigo iuve been on these tablet for month now i started with citalopram which gave me heart palpitation so my doctor started me off with mg and recently increased to mg a if had plateaued and saw no additional benefit of being on mg there is no doubt about it that this medication ha helped me i am le lethargic more alert and my driving ha certainly improved not yet back on motorway but will plan to phase back slowly on to wider road it wa the driving that triggered my nervous disposition
2182,fluoxetine,anger management issue and depression had plagued me my whole life i have been fired from many a job for the problem i would bring upon myself ive been on prozac mg for year and it ha changed my life i wa able to perform with minimal issue and my wife didnt divorce me even though she had ground to so warning i couldnt get a renewal from my doctor because he stopped taking my insurance so i tried to get another doctor but appointment were month away and went off my med cold turkey week into the withdrawal i wa fired from my job of which i loved because i had a meltdown i wa yelled at by another employee and i started to loose control the bottom line wa they escorted me out of the building
2184,alprazolam,due to a neck injury and cervical spine fusion i have restless night sleep i wake often i have take the med for night and it ha allowed me to have a full hour of sleep without waking i feel so much better in the morning have sleep i feel le overall body pain and am able to get more done in the day i am a little drowsy for a little while when i wake up but it go away getting more sleep is very beneficial in many way
2186,fluoxetine,the first week on prozac were awful i had zero appetite vivid nightmare horrible night sweat and a very short temper but all of a sudden when week rolled around i felt like a new person i wa the quotold mequot again it felt amazing to hear my family tell me they could notice the change in me im a much more productive person now im thriving at work and im so thankful i found this drug
2188,alprazolam,do not use if you have acute anxiety ive had lifelong daily anxiety and depression that ha never gone away i ended up dropping out of school because i couldnt sit still without having a full blown panic attack shaking my head spin all day and my anxiety cause me migraine ive tried yoga meditation and all natural remedy ive come to term with the fact it is genetic i didnt know xanax existed ive tried all antidepressant and they messed me up pretty bad but i do have a very high tolerance to this medicine i hate that it addicting because it the only thing that make me feel normal and able to live my life happy
2190,alprazolam,this work effectively for anxiety a well a sleeping problem it doesnt impair my cognitive ability it is not addictive to me however the only problem is getting off xanax and the backlash effect it creates i have successfully used tranxene to bridge this gap and taper off safely i rate it a it ha been a true miracle when i needed it most
2191,fluoxetine,helped with depressive thought and episode quite a bit i wa in a toxic environment at work and home which were one in the same started at mg for week which helped a little with my symptom of negative meditation where i could only think of mistake i made and how i couldnt concentrate at work went from functioning to increased to mg even though i hesitated because i wa experiencing some unpleasant side effect they indeed worsened on mg to my unsurprise i had low sex drive before because of the depression but my desire is gone now because of the medication starting to feel numb and there something inside me that wont relax i quit my job and moved too still have some anxiety
2192,alprazolam,calming and start to work within minute ha been a lifesaver for me over the year i suffer from anxiety and panic attack
2193,alprazolam,in i started having what i now know panic attack but didnt know it at the time my doctor sent my blood in for testing trying to figure out why im having to pull over when driving cuz i think im going to pas out due to hyperventilation first i thought i wa having low blood sugar but a few week later at my follow up appt my doctor said quot youre having major panic attack i believequot i tried every anxiety medication there is trying to feel my dr gave me mg alpazolam every hour a needed i still take xanex and mg of lexapro to this day just having a xanex bar in my pocket help prevent attack today i get mg bar and i make sure i try to take no xanex a few time a week so i dont become dependent
2194,fluoxetine,tried zoloft and lexapro but had stomach problem side effect for month i tried the generic prozac mg and had a month of horrible side effect until week it finally worked help so much no attack and only have a little anxiety once in a while worth it
2196,adderall xr,i wa prescribed adderall xr for lack of focus and attention after being on the medicine mg for day i felt very confused and had trouble talking i wa stumbling over my word and second guessing myself my appetite wa altered a expected but i made sure i ate frequently i also noticed i wa very impulsive and short tempered more than usually i just wasnt my normal self on this medicine im glad it ha worked for many people but it did not agree with me
2199,fluoxetine,for anyone who is hesitant about trying an anti depressant like prozac because maybe you have too much pride or youre embarassed that you have to take a pill everyday to feel like yourself i wa suffering with anxiety and depression for about year after a really traumatic car accident and refused to try anything im in my early s i thought i wa too young i only wished i wouldve listened to my body and mind sooner prozac changed my life i only take mg and it is incredible i feel happy i feel calm i feel like my old self i havent had any anxiety in month im not moody it like that big dark cloud is finally gone dont be afraid to try this anti depressant im a brand new me because of it i feel invincible
2200,xanax,xanax ha saved my life ive been on them for almost four year i am depressed have panic attack and severe anxiety xanax ha made me feel normal i can now be in public unlike before it would make me nervous i can deal with working and school without having severe anxiety racing thought and worrying constantly are no more xanax rake that away im not a panicky just relaxed and can handle issue stress everyday life better i highly recommended xanax if you have anxiety or panic attack im on mg twice a day i take one a soon a i wake up one in the evening then my sleeping medication are night i love xanax for helping me
2202,adderall,im a year old male diagnosed with depressive subtype add year ago ive tried ritalin adderall dextrastat emsam and various other antidepressant a im dysphoric all these medicine have helped holiday are good for resetting tolerance year ago i needed mg adderall in the morning and at noon after working up from ritalin which became too weak im on prilosec for stomach acid now and nonxr stimulant taken only in the morning still keep me awake at night for which mg of klonopin cure i dont get addicted to anything so no problem though nothing make me feel really good either even narcotic or sex a well functioning mind and getting thing done is my main high
2204,adderall xr,i wa taking generic adderall mg twice a day i took it for a month and had a number of side effect that disappeared over time except for of them increased excessive urination and stomach problem so my doctor switched me to adderall xr mg the side effect are pretty much gone so far i have been getting sour stomach but i started a pretty good probiotic strain billion bacteria and it helped some ive been on the xr for day now i cant say much for it being consistently effective though it also much more subtle a far a focusconcentration go and it seems to wear off much sooner than it supposed to though it hard to tell i experience no crash at all it definitely much gentler than the ir version
2205,adderall,i have been suffering through add and dyslexia my whole life together the two work together to make your life a hell pit dyslexia made it harder for me to understand thing and add made it hard for me to keep my focus long enough to understand it i have been on and off add medication throughout my life all which had negative which outweighed the positive i am now i also lost hope in myself that i would ever be quotnormalquot it wa taking me a least time a long to complete task a my classmate i started to become a burnout until i wa prescribed adderall my head that once felt like a rock now feel totally capable of thinking my grade went up and now i have hope i still have challenge but they are manageable
2206,alprazolam,i have suffered from anxiety for year and tried to combat it without medicine i finally gave in and went to the doctor and wa given xanax this medicine ha tremendously helped my anxiety i take mg a needed about once a week it begin working within minute and doesnt wearoff until hour later which is perfect for me it can make me a little drowsy but not to the point where i feel like im going to fall asleep while im in public i have never been addicted to this medicine a ive been very careful to only take it when i really need it
2207,fluoxetine,i have been taking fluoxetine for three year since my husband left me during my pregnancy i wa having suicidal and homicidal thought i wa trying to think of way to kill him and get away with it when i started taking prozac those disappeared and i wa coping with reality much better i recently about week ago stopped taking it after i read a study that suggested that many people imagined their reaction to antidepressant i wanted to see if there wa truth to that big mistake i have been moody cry at the drop of a hat and very angry all the time at pretty much anyone even my three year old going back to the prozac asap even with the low libido side effect
2208,alprazolam,honestly xanax pretty much saved my life i know some people have bad reaction to it but that is few and far between the rest of you that had problem clearly didnt read up on it which you should always do with your medication all i can really say is that i went from having like panic attack a week to one every six month or so when i take this medicine a needed i function so much better a a human being and am forever grateful that i got out on the right med
2209,alprazolam,i deal with an aniexty disorder where i fear anything that ha anything to do with the apocalypse or other thing like bad thing in the news or conspiracy theory when i first tried xanax it blew my mind before it i wouldnt eat or sleep because i wa so worried now i take it when i need to and it make me focus on thing at hand
2211,fluoxetine,marvellous restored my dignity anxiety management and sleep
2213,fluoxetine,prozac is my happy pill it took me forever to find something that work but this is definitely mine i wa beginning to be skeptical that anything would work effexor and prestiq wa what i wa put on before this and that wa a nightmare this make me think more clearly and see thing in a different perspective i see the good in life and i dont get so easily upset over everything anymore and if i do get bothered by something i get over it in second help with my social anxiety a well ive noticed im more talkative and can deal with being around people better before i wa so badly depressed with possible bipolar or personality disorder im finally getting to know myself a a person and am much happier now
2215,fluoxetine,after taking prozac successfully for about year i talked with my doctor about switching to a different antidepressant because i missed having a sexdrive after a year on citalopram there wa no change so i switched to bupropion it caused me to feel very depressed and extremely anxious i am well aware that antidepressant take several week to have positive effect and that the side effect also tend to go away so i stuck with the bupropion for week it just got worse and worse and i started to feel suicidal for the first time in my life i have been back on prozac now for week and am feeling a little better stopping prozac just to try to get sex drive back wa a big mistake
2216,fluoxetine,i suffered panic attack and anxiety most of my life but started having several a day after a move and job change i tried zoloft mg first and had extreme jitteriness nausea and shaking sertraline reaction my doctor switched me to a low dose of prozac to start with mghalf a mg tablet after week he moved me to mg but i had nausea and shakiness he said to go back to mg i had to continue xanax a needed for my first month the attack slowly became le severe then disappeared month now since an attack and i only take mg this ha changed my life
2217,adderall xr,my son wa diagnosed with adhd when he wa he is now we have tried changing his diet herbal remedy vyvanse strattera and several others the thing that ha worked without causing headache is the adderall rx he doe have a loss of appetite but his behavior and ability to concentrate are definitely worth it
2218,fluoxetine,im and premenopausal for a few day each month around ovulation id go from my normal self to an quoteeyorequot statethe smallest thing could set me off into an increasingly downward spiral of depression when i finally told my amazing doctor about this he explained that if it wa truly pmdd and menopausal related a very very small dose of prozac for just a few day per month would help the problem tremendously if it wa actual depression it would not work so well or so quickly he wa absolutely right i am only using mg which is a dose so small that i have to get a mg pill and break it in half i take it for approx day it critical that i take it at the very first sign of that depression before it is able to take root
2219,prozac,i wa depressed since i could remember always low energy and just wanting something to kill me didnt matter but prozac help me a lot i still have my bad day but they arent a severe of frequent thanks prozac
2220,alprazolam,this is a qualified positive review for xanax i wa suffering from mild depression and anxiety last winter and my doctor put me on wellbutrin that stuff take week to work and in the interim it can really up your anxiety level a week later i started mg xanax xday and it took care of the anxiety immediately i continued using xanax for more restful sleep but after about month i realized that short and long term memory wa way down stopped xanax and replaced with gaba and this seems to be a far better solution the wellbutrin worked great felt more energy the first week but did take week to fully kick in i will now only take the xanax for rare severe stress also check the connection to alzheimers
2221,xanax,i take quotxanaxquot prescribed by my doctor not everyday though sometimes for helping me sleep when my thought are going crazy and my imagination is wild it doe help for sleep addictive if you take it everyday
2222,xanax,only med that ha ever really worked for me ive tried every holistic approach to treat my anxiety taking a take the edge off like nothing else im afraid to take med but taking xanax doesnt make me nervous i only take it when my anxiety and panic come back sometimes i have it under control for long period of time i read a lot of negative thing about becoming addicted and the withdrawal effect but most of u who really suffer hate taking med we rather get better with no drug it help me calm down so i can think clearly and get through the day or night wanted to post something positive for those who are afraid to take it
2223,fluoxetine,im taking mg prozac since week i only relapsed twice in the first week while being on a lower dose it took away the urge to binge and even purge im le depressed too ive been through year of psychoanalysis and hospital stay all to no avail never took medicine i have bulimia for over year and am hopeful to get rid of the food pressure for good prozaz changed my life so far ill update at a later time
2225,fluoxetine,i had really bad anxiety issue before i hopped on this medicine wa constantly feeling down and never wanted to be around people the being around people part hasnt changed probably because im just a solo person but my mood is so much better and i just feel happier with life at time i feel a little to happy that i get aggravated if that make any sense but i love the medicine
2226,fluoxetine,did not have the best experience with this medication but antidepressant and anxiety medication react differently for each person for the month that i wa on prozac it improved my anxiety but every time my dosage wa changed my depression got much worse and fluctuated greatly it got so bad that i had to switch medication again every medication reacts differently for everyone
2227,prozac,i wa prescribed prozac generic mg week ago by my doctor i had a rough patch with a family member which led to extreme anxietyocd i had panic attack and left work on several ocassions this led to depression felt like surrounded by a dark cloud i am male in my late s and never suffered with this before so it really scared me i thought i wa going crazy finally decided to get help after month i wa very nervous to take after some been week and i feel so much better is seemed like day i woke up and the depression and anxiety just faded i had some side effect for first daysmental fogginess drowsiness headache waking up early but all went away hope this help and stick with it exercise help too
2229,alprazolam,just about the safest drug you can take dont drink on it and youll be fine that anxiety will be a thing of the past and you should sleep nicely too
2230,alprazolam,i have been on xanax for about ten year and now it is ha had to come to a screeching hault at first mg three time a day wa great ii could work go into social setting and even to store it gradually got up to mg time a day for about year then came the beginning of the end i had began using more and more of this wonder drug and i ran out horrible withdrawal symptom beginning with night sweat not sleeping confusion and finally seizure not to mention the mental twist and game my mind played on me now i am on klonopin and it taken the edge off today i dont get the wonder drug feeling and im not having seizure we will see careful with use of this medicine
2231,fluoxetine,so i wa previously on citalopram and it reduced my depression but made my pmdd more noticable a psychiatrist recommended prozac a citalopram is not effective for pmdd the month that they weaned me off citalopram and onto prozac wa hell now im fully taking prozac at mg it is working already i have more energy and can get up and do thing more often ive not had a period on my full dose of prozac yet so im not sure how it will work then but from what i feel now i think it will be great side effect i have incredibly vivid and unpleasant dream but had that on citalopram at first and they are so vivid i often confuse them with real life momentarily i also have bruised and itchy leg
2232,fluoxetine,prozac is great when you first start you can feel a little anxious but hang in there it ha changed my whole outlook on life after being really depressed after a divorce and trying to raise two kid on my own it gave me the confidence to get a job and enjoy working again before it i had little confidence i love laughing again which i do a lot now no side effect for me except feeling a bit weird and anxious for the first few week
2233,alprazolam,i have suffered from severe panic attack for year xanax is the only medicine that ha helped me i dont take it time daily a prescribed i take it only when i have a panic attack it work wonder
2234,prozac,this medication ha been helping me so much i have been taking it for week now and i am happy with the result it is the only medication i have taken that seems to work
2235,prozac,this medicine wa actually doing some good my doctor started me off at mg since i dont respond well to antidepressant such a paxil effexor at first i started actually having the suicidal thought they warned me about for the first week eventually after week i started to notice a difference in my panic attack they were weaker but still bothersome my depression wa also getting better but around month of taking it i still had the cry spell i told my doctor and he bumped me up to mg slowly i really started to notice a bigger improvement it been almost month and my panic attack are very weak a i am able to control them my cry spell arent a bad but i still get them not a often which is great
2236,xanax,i wa prescribed this med because i lost my dad very suddenly recently and suffered my first full blown panic anxiety attack the attack itself wa the usual numbness and tingling sensation hard time breathing and impending doom thought i wa told to take on a a needed basis so thats what i did i started to have the strangest thing happening to my body flu like symptom with hot and cold flash and pain all over my usually high blood pressure kept falling and i wa dizzy and lightheaded my doctor attribute it to anxiety and directed me to take more so we upped my dose and omg the pain wa worse now i know i might just be sensitive to this drug but my friend had the exact same experience with it so beware
2239,xanax,ive been tormented by anxiety since childhood i am year old and have been through a lot in my life ive been diagnosed with depression bipolar disorder and anxiety panic attack add ive been medicated most my life a well my anxiety got so bad in high school that i had to be home schooled i wake up in the morning feeling like my heart will explode for no apparent reason i get intense irrational fear and intense impulse to harm myself because i just cant take it and get frustrated i start throwing and breaking thing i cant stand to be alone a lot of the time xanax work fast and calm me down without knocking me out depending on the severity of my attack i take up to mg no le than mg
2240,prozac,i feel fantastic i feel a massive change in myself im le aggressive anxious depressed and agitated im more patient with thing and people a i suffered with social anxiety im more outgoing and thinking clearer i feel on top of the world and have lost kg a my appetite ha decreased rapidly
2241,prozac,it obviously affect everyone differently ive been taking fluoxetine for about year mg per day yes it ha some side effect which are difficult to anticipate and manage it can make me overly excited and at time a little euphoric which arrives quickly making it difficult to contain on the other side i suffered from manic depression and i used to happily go into a black hole in a blind rage and the medication just stopped that completely so i feel like it a very positive trade off i do get very sleepy and tired so honestly i just sleep more i tried reducing my dosage a couple of time over the year ive been taking this but could not handle the withdrawal
2242,adderall,i take milligram a needed for school i take it right before school maybe around am school start around am ive noticed extremely dizziness i get hot so easily even more anxious so much more depressed so tired terrible headache and excessive talking i wake up in the morning to bump into every possible wall my vision is completely blacked out i cant walk for more than a mile without feeling faint i eat well and drink lot of water due to a horrible experience with vyvanse in which i lost lb not only that but falling asleep is killer ive never taken such a small dose and have such poor result
2243,alprazolam,thankfully i only took this med for a few week and at the lowest dose possible i wa taking mg time a day for a few week until my long term anxiety medication started to kick in this medication truly doe help for extreme anxiety and panic attack but should only be used shortterm the use of this medication for any longer than a month on a daily basis is a recipe for disaster this drug can be very addicting and is really hard to come off after longtime use luckily i researched this drug and knew this shortly after taking it so i wa aware because the doctor never informed me of the risk
2246,prozac,i have spent a lot of time reading thread on prozac they have all been very helpful during these past few month so i thought i should share my own experience just in case anyone out there might find it helpful i started prozac mg about month ago i always knew i had anxiety and mild depression and wa always curious about taking antidepressant but when my boyfriend and i broke up i literally went to my psycdoc the very next day i had done my research on adrsquos and thought that prozac would be the best for me my doc agreed i kept a log every single day i took prozac starting from day until day it took day before i started feeling little random burst of happiness but up until day it wa pure torture it hurt to smile i completely lost my appetite i could not sleep i wa sad i experienced soooo much anxiety is wa painful but thanks to reading all these thread i did not give up and wa hopeful that thing will get better just a everyone said it will every day after day just seemed to have gotten better and better and on day it finally hit me and i understood what prozac is all about yes it is true that it is a life saver if i had to put it in just two word to explain how i feel on prozac i would have to say ldquocalmrdquo and ldquoclearrdquo but irsquom not finished just yethellip after a few week i started feeling like the mg wasnrsquot really working so my doc increased my dose to mg this time around i almost gave up and went back to mg but thankfully i did not for week of taking mg i wa soooo tired fatigue and lethargic i did not experience this on mg and i wa constantly hungry too so after week i called my doc so i can make an appointment to go back down to mg he wa out of town so i had to wait when his office called me back to schedule me in the awful side effect of mg were gone and i wa back to feeling clear calm and happy again so here is my own personal advice from my own journey with prozachellip irsquove been on it for a little over month you have to get worse before you get better no matter what you think you will get better prozac is literally reprogramming and rewiring your brain and that take time side note irsquom year old and exboyfriend and i are back together and happy so were all those day of torture worth it it sure wa
2247,adderall,i liked how focused it made me however if i wa agitated it made it worse
2248,xanax xr,mg of alprazolam xr at night and sleep like a baby no side effect no need to increase the dose it a wonder medicine for me because i cant stop my mind racing but this doe
2250,fluoxetine,i am in control of my thought and emotion and thats all i can ask for i dont easily cry or become depressed anymore i dont say hateful and mean thing when im angry i feel mentally stable and am in a much happier place just week in didnt have any side affect only think wa that people asked why ive been so much happier i recommend prozac and never take any other kind of pill
2252,alprazolam,my only negative issue with this product ha been it potential for dependency at bedtime
2253,fluoxetine,im a teenager and i have had pretty severe anxiety for about to year it stopped me from doing normal high school thing like going to dance making friend and going to party because those kind thing terrifies me i went to a psychiatrist and since my anxiety ha been negatively effecting my life she prescribed me ml of prozac once a day this ha seriously changed my life ive tried all the natural medication and technique that claim to work but nothing had worked for me it took a while to kick in but once it did i became a whole new person ive been so happy and can do thing without worrying
2254,adderall xr,i took adderall for about month it wa the first medication that i have taken for adhd a in the past i have suffered through the symptom overall i would say that it helped my focus and drowsiness other than that i didnt notice a huge change in other area though the ability to stay awake and keep focused helped at work i still managed to forget important event it work well for those of u who have the inattentive type adhd
2258,alprazolam,a half of one of these help me a lot i have these feeling of overwhelming anxiety i feel like i just robbed a bank and the cop are on thier way or my mind is racing with bad scary thought this help take them away and calm me and also when someone is attacking me at work making me feel like i would normally explode or dosay the wrong thing it help me not to and to stop and think for a minute before i react sometimes i really need to do this but my normal self can not thank god for these a they also help with much more and make me feel more normal and able to be in the world with others
2261,prozac,i started taking mg prozac for day on the nd day my whole body ached like the flu and my throat is sore i took tylenol for the body ache and pretty much slept the whole day around am i started vomitting up bile until am cold sweat clammy and shaking my dr told me to stop taking the prozac but my body still ache so bad
2262,prozac,ive been taking fluoxetine for month now i started taking at night after my first day due to drowsiness i wake up periodically through out the night my dr say it not the medicine but it ha to be i havent had a good night sleep in month amp ive always loved to sleep the medicine work awesome though
2263,xanax,i had a breakdown in my doctor office after my klonopin stopped working she said i needed something stronger for my daily panic attack a i could not even function at my part time job that wa only three day a week i am on mg twice daily it affordable and help like no other medicine ive tried i take it with chamomile tea to relax if ive had a stressful day or if thing get too hectic at work i may take half of one it also cured my insomnia i feel like a normal person now
2265,prozac,i have had severe anxiety all my life sweaty hand sweaty foot shaky feel like your vibrating inside dizzy lightheaded it is an awful way to live and until i wa an adult with kid of my own l had no treatment but now i have literally tried every depression and anxiety medication there is and prozac ha helped me the most without unbearable side effect
2266,prozac,i never had any problem with depression until i got hurt at work in since then ive lost home car and have been completely stressed and severely depressed most day i didnt even get out of bed i became very antisocial i wa prescribed prozac and am only on day and i can already feel a difference im up and out of bed i have more energy then ive had in month and i dont feel like everything is hopeless anymore im still having issue with irritability and severe mood swing but hopefully my doctor can treat that with something else overall i couldnt be happier with this medication so far so good not even any side effect to speak of it great
2268,alprazolam,i wa prescribed xanax by my psychiatrist because of severe anxiety i wa started on mg to be taken at night it ha been the best medication prescribed for my condition a it also helped slow down the suicidal thought which were on a daily basis i am still taking xanax under gp supervision a it help relieve the level of anxiety tremendously it is the best medication ever made for people who are born prone to anxiety throughout their childhoodadolescence and extreme shyness yes shyness i also take it in conjunction with antidepressant aropax which helped with my depression but also with my unfortunate disability of extreme shyness which wa a constant problem for me a an adult basically all my life
2269,fluoxetine,week on prozac have lost ten pound and needed to do so appetite remains but i finally know when im full can not drink more than an occasional glass of wine do not feel like drinking any longer energy up anxiety down i have agitation that i didnt have before however sleeping hour per night but i always did that anyway but sleeping more soundly sex drive is down am female strange detailed dream feeling benevolent but oddly detached and very happy still laugh a lot but not interested in being creative very much
2270,fluoxetine,i have struggled with anxiety and depression for about year after almost dying from meningitis in post traumatic stress disorder became an issue a well my general physician recently diagnosed me with major depression disorder a well she is an amazing doctor who took extra schooling for psychology and pain management she suggested i try prozac i had heard so many bad and controversial thing about prozac but decided to ignore the naysayer and try it ive been on it about week not noticing too much yet but i am going to hang in there a i know it can take to week for full benefit i realize i cant expect something to work right when i want it to work it take time giving it a chance will update
2271,prozac,so i have always suffered from anxiety and i went to therapy for a while and my therapist suggested seeing a mental health nurse practitioner who can maybe set me up with something she referred me to the doctor who prescribed me prozac and it been working great ive been on it for about a month now the first two week were a little rough i wa feeling more depressed and experienced a loss of appetite and even threw up a couple of time though im not sure if that wa the medicine or if i caught a stomach bug however at about the rd week i started feeling great i wa much happier and more engaged at work ive been feeling so good im starting to think i may have had depression my only complaint is my sex drive is totally gone
2272,xanax xr,this ha been a god send for me it make me feel like im on a more even playing field and ive had le panic attack with only having to take every hour that is also helpful a i am on other medicine for depression and fibromyalgia i would recommend for anyone with anxiety andor panic disorder to definitely try this if you can get your doctor to prescribe it for you a it is becoming harder and harder to get the medicine that actually work for u because they think we will all become addicted i always say give u the medicine we need for our problem that work and well worry about the rest later
2273,fluoxetine,ive been on prozac for many year this medication ha definitely improved my life i had tried zoloft first and had some strange side effect ive never had any adverse effect with prozac i dont feel any different except i feel so much better on it i will continue to take it
2275,xanax,my doctor threw every anti depressant medication my way they all made my depression worse to the point i had suicidal thought and tendency my mother had it with the drs changing my dose and med so finally she gave me some of her own prescribed xanax she gave me a when i had my bad day about day out of the month now a needed i also have nervous habit anxiety when she started giving me the xanax i wa before i would cry hysterically for hour on end a soon a i tried xanax it all went away no more mood swing my depression went way down only having a few issue a month when i wa untreated i am now and i use it maybe time a year and i use oil the others i highly recommend not using it continuously
2276,fluoxetine,i am a year old female who over the past year ha been diagnosed with major depression major anxiety ptsd and others the depression wa getting worse and worse until after many try with different medication my doctor prescribed prozac i truly believe this medicine saved my life
2278,alprazolam,i started having anxiety attack a few month ago due to marijuana use bad life choice i regret but due to my natural anxiety marijuana made it x worse i started having anxiety attack sometimes up to x a day for a few week i had a visit to my doctor scheduled anyway and wa honest and told him about my situation he prescribed me xanax to use a a short term medication for my anxiety attack a he said weed can cause horrible anxiety for a month in some ppl i took it a prescribed which wa every six hour a needed i started with about mg a day but took a few time when it wa real bad week later i began splitting the pill in half to am completely off it now but made a huge difference in my life for that time
